"Поисковая фраза (Директ)","Кампания Яндекс.Директа","Визиты","Посетители","Клики","Расходы, RUB","Отказы","Глубина просмотра","Время на сайте","Достижения избранных целей"
"муж на час санкт петербург цены","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","19","17","20","2000.0","0.47368421052631576","1.0526315789473684","00:00:11","1"
"сантехник вызвать на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","18","17","19","14036.9281","0.2222222222222222","1.1666666666666667","00:01:09","8"
"сантехник кудрово","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","17","18","6738.0331","0.15789473684210525","1.263157894736842","00:02:03","6"
"сантехник на дом спб недорого выборгский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","21","17","21","11565.382599999999","0.23809523809523805","1.0476190476190477","00:00:26","10"
"сантехник парнас","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","24","17","23","9618.7896","0.08333333333333331","1.5416666666666667","00:00:28","4"
"сантехник спб на дом недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","20","17","22","11325.985600000002","0.3","1.15","00:01:18","6"
"сантехника","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","19","17","20","1700.0","0.3157894736842105","1.368421052631579","00:01:02","1"
"вызов водопроводчика на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","16","19","10160.6371","0.10526315789473684","1.4736842105263157","00:00:41","4"
"вызов сантехника спб на дом недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","29","16","23","14003.715799999998","0.3448275862068966","1.0689655172413792","00:01:11","8"
"мастер сантехник спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","20","16","20","7920.922499999998","0.1","1.35","00:02:05","6"
"сантехник калининский район спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","16","15","5476.0562","0.10526315789473684","1.3157894736842106","00:03:43","6"
"сантехник на дом спб выборгский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","18","16","18","7134.9686","0.2222222222222222","1.2222222222222223","00:01:46","3"
"сантехник питер","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","20","16","15","10277.8332","0.15","1.2","00:00:29","6"
"сантехник спб вызвать на дом недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","16","18","13114.199","0.05263157894736842","1.0","00:00:19","2"
"установка унитаза цена спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","16","23","2691.6611000000003","0.21052631578947367","1.3157894736842106","00:00:56","1"
"аварийная служба сантехника круглосуточно спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","15","17","4891.1576","0.3125","1.4375","00:00:30","3"
"вызов сантехника на дом спб приморский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","15","20","9088.0138","0.15789473684210525","1.0526315789473684","00:01:30","8"
"прайс лист на сантехнические работы 2025 в спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","16","15","15","0.0","0.0625","1.3125","00:00:19","0"
"сантехник вызов на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","15","18","10968.4237","0.125","1.5625","00:02:15","5"
"сантехник кронштадт","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","15","21","5234.218699999999","0.3684210526315789","1.2105263157894737","00:00:28","3"
"сантехник на час","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","15","18","11654.1211","0.15789473684210525","1.263157894736842","00:01:34","6"
"сантехник фрунзенский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","17","15","18","6536.0279","0.17647058823529413","1.411764705882353","00:00:38","3"
"аварийная служба сантехника спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","14","15","4818.2029","0.25","1.1875","00:01:41","2"
"вызвать водопроводчика на дом в спб по адресу","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","30","14","28","6545.297600000001","0.4","1.1","00:01:29","5"
"вызвать сантехника в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","14","17","9232.609","0.14285714285714285","1.2142857142857142","00:01:17","2"
"замена батареи отопления в квартире стоимость в спб"," 24santehnik.com / мк / СПБ ок авто ( N-701674809 )","21","14","16","2402.738","0.14285714285714285","1.2380952380952381","00:00:24","2"
"сантехник"," 24santehnik.com / мк / СПБ ок авто ( N-701674809 )","14","14","25","5843.092199999999","0.5","1.6428571428571428","00:02:37","2"
"сантехник на дом спб недорого приморский","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","29","14","17","7776.4879","0.13793103448275862","1.5517241379310345","00:04:13","5"
"сантехник онлайн","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","14","17","4894.717100000001","0.2857142857142857","1.2142857142857142","00:00:50","6"
"сантехник спб на дом","конверсионные / поиск / спб окл 600 ( N-701641638 )","23","14","13","7725.024","0.08695652173913043","1.0869565217391304","00:00:19","4"
"вызвать сантехника спб на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","24","13","16","8849.7098","0.08333333333333331","1.125","00:00:58","5"
"вызов сантехника в спб срочный на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","17","13","14","10530.5228","0.35294117647058826","1.1176470588235294","00:01:17","8"
"вызов сантехника на дом спб невский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","13","17","5639.2776","0.125","1.625","00:02:38","5"
"заказать сантехника на дом спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","21","13","19","11116.657099999999","0.19047619047619047","1.3333333333333333","00:01:30","5"
"ленремонт сантехник","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","19","13","15","10700.0","0.0","1.1578947368421053","00:00:49","7"
"найти сантехника в санкт петербурге недорого","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","13","14","6070.417","0.15789473684210525","1.0526315789473684","00:00:19","3"
"прайс лист на сантехнические работы 2025 в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","14","13","14","1700.0","0.14285714285714285","1.0714285714285714","00:00:21","1"
"сантехник 24","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","16","13","16","3400.0","0.3125","1.9375","00:03:09","2"
"сантехник 24 спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","15","13","14","3600.0","0.26666666666666666","1.3333333333333333","00:00:32","3"
"сантехник круглосуточно","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","13","14","5342.9174","0.23076923076923075","1.0769230769230769","00:00:58","8"
"сантехник на дом спб недорого калининский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","16","13","15","7033.1059000000005","0.1875","1.1875","00:02:24","4"
"сантехник на дом спб недорого фрунзенский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","19","13","19","7765.4572","0.3157894736842105","1.105263157894737","00:00:36","2"
"сантехник невский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","13","16","7288.274000000001","0.06666666666666667","1.7333333333333334","00:03:02","6"
"сантехники спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","14","13","13","1500.0","0.35714285714285715","1.2857142857142858","00:00:38","1"
"аварийный сантехник спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","12","12","11","3600.0","0.25","1.0","00:00:13","2"
"аварийный сантехник спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","13","12","13","0.0","0.07692307692307693","1.0769230769230769","00:00:16","0"
"авито сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","18","12","14","5208.7276999999995","0.33333333333333326","1.0","00:00:17","3"
"замена стекла в душевой кабине","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","12","12","12","0.0","0.16666666666666663","1.0","00:00:38","0"
"замена труб в ванной и туалете цена спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","12","11","1640.3907000000002","0.15384615384615385","1.1538461538461537","00:00:27","0"
"ленремонт сантехник санкт петербург","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","16","12","12","5600.0","0.1875","1.0","00:01:51","5"
"мастер на час","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","14","12","13","0.0","0.5","1.0714285714285714","00:00:08","0"
"мастер на час спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","12","12","12","0.0","0.33333333333333326","1.0","00:00:10","0"
"мастер на час цены на услуги спб","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","12","12","13","1500.0","0.33333333333333326","1.0833333333333333","00:00:22","1"
"мастера на час","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","12","12","19","2000.0","0.25","1.1666666666666667","00:00:15","1"
"ремонт стиральных машин в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","12","12","13","0.0","0.25","1.1666666666666667","00:00:13","0"
"сантехник в пушкине недорого без посредников","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","12","13","5459.4826","0.0","1.0","00:00:19","3"
"сантехник васильевский остров","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","12","14","6696.2488","0.13333333333333333","1.2666666666666666","00:01:08","5"
"сантехник на дом спб"," 24santehnik.com / мк / СПБ ок авто ( N-701674809 )","17","12","12","2000.0","0.0588235294117647","1.2941176470588236","00:00:59","1"
"сантехник на дом спб красносельский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","12","12","6759.9868","0.15384615384615385","1.2307692307692308","00:01:22","7"
"сантехник на дом спб недорого красногвардейский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","12","12","6663.406400000001","0.33333333333333326","1.25","00:01:11","3"
"сантехник на дом спб фрунзенский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","12","13","6723.6961","0.15384615384615385","1.0","00:00:38","3"
"сантехник санкт петербург","eLama | 24santehnik | Мастер кампаний | СПб ( N-109583445 )","13","12","17","3000.0","0.23076923076923075","1.2307692307692308","00:00:54","2"
"сантехник срочно на дом","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","12","14","11583.3956","0.2","1.2666666666666666","00:01:46","4"
"услуги водопроводчика","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","15","12","15","5080.6234","0.2","1.6666666666666667","00:01:43","3"
"установить счетчики на воду в квартире в спб","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","12","14","2509.7455000000004","0.15384615384615385","1.0769230769230769","00:00:25","1"
"24 сантехник","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","14","11","13","4773.0315","0.07142857142857142","2.142857142857143","00:02:35","0"
"аварийная служба спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","12","11","15","1500.0","0.41666666666666674","1.0","00:00:40","1"
"вызвать срочно сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","13","11","13","709.5101000000001","0.07692307692307693","1.0","00:00:13","0"
"вызов сантехника на дом спб выборгский район","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","13","5648.8333","0.0","1.25","00:03:14","2"
"заказать сантехника","eLama | 24santehnik | Поиск | СПб ( N-109582708 )","12","11","7","3725.7182000000003","0.5","1.1666666666666667","00:00:16","3"
"муж на час цена в санкт петербурге","муж на час / поиск / спб окл 600 ( N-704150420 )","14","11","17","5386.192599999999","0.5","1.6428571428571428","00:01:05","0"
"прочистка канализации в спб","eLama | 24santehnik | Товарная | СПб ( N-109583585 )","11","11","11","5300.0","0.18181818181818182","1.1818181818181819","00:02:47","3"
